data_type,structure_category,tree_category,time_category,prediction_category,size,Kendall [c],Kendall [p],Spearman [c],Spearman [p]
test,unseen,all,all,underestimated,117,0.231±0.075,0.756±0.052,0.289±0.132,0.897±0.036
test,unseen,all,all,overestimated,263,0.146±0.109,0.562±0.083,0.203±0.149,0.724±0.097
test,unseen,all,small,all,190,-0.008±0.208,0.369±0.117,-0.031±0.281,0.526±0.130
test,unseen,all,small,underestimated,3,-0.855±0.059,0.676±0.209,-0.929±0.018,0.783±0.189
test,unseen,all,small,overestimated,186,0.011±0.207,0.389±0.122,-0.005±0.281,0.554±0.138
test,unseen,all,medium,all,76,0.061±0.161,0.214±0.259,0.058±0.235,0.268±0.326
test,unseen,all,medium,underestimated,36,0.098±0.188,0.531±0.264,0.100±0.257,0.625±0.299
test,unseen,all,medium,overestimated,39,-0.031±0.167,0.473±0.377,-0.013±0.214,0.538±0.374
test,unseen,all,big,all,115,0.421±0.191,0.602±0.062,0.547±0.226,0.786±0.043
test,unseen,all,big,underestimated,77,0.297±0.188,0.636±0.118,0.372±0.204,0.792±0.100
test,unseen,all,big,overestimated,37,0.676±0.110,0.751±0.107,0.804±0.076,0.845±0.077
test,unseen,seen,all,all,0,nan±nan,nan±nan,nan±nan,nan±nan
test,unseen,seen,all,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
test,unseen,seen,all,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
test,unseen,seen,small,all,0,nan±nan,nan±nan,nan±nan,nan±nan
test,unseen,seen,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
test,unseen,seen,small,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
test,unseen,seen,medium,all,0,nan±nan,nan±nan,nan±nan,nan±nan
test,unseen,seen,medium,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
test,unseen,seen,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
test,unseen,seen,big,all,0,nan±nan,nan±nan,nan±nan,nan±nan
test,unseen,seen,big,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
test,unseen,seen,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
test,unseen,unseen,all,all,381,0.209±0.070,0.581±0.061,0.297±0.104,0.741±0.069
test,unseen,unseen,all,underestimated,117,0.231±0.075,0.756±0.052,0.289±0.132,0.897±0.036
test,unseen,unseen,all,overestimated,263,0.146±0.109,0.562±0.083,0.203±0.149,0.724±0.097
test,unseen,unseen,small,all,190,-0.008±0.208,0.369±0.117,-0.031±0.281,0.526±0.130
test,unseen,unseen,small,underestimated,3,-0.855±0.059,0.676±0.209,-0.929±0.018,0.783±0.189
test,unseen,unseen,small,overestimated,186,0.011±0.207,0.389±0.122,-0.005±0.281,0.554±0.138
test,unseen,unseen,medium,all,76,0.061±0.161,0.214±0.259,0.058±0.235,0.268±0.326
test,unseen,unseen,medium,underestimated,36,0.098±0.188,0.531±0.264,0.100±0.257,0.625±0.299
test,unseen,unseen,medium,overestimated,39,-0.031±0.167,0.473±0.377,-0.013±0.214,0.538±0.374
test,unseen,unseen,big,all,115,0.421±0.191,0.602±0.062,0.547±0.226,0.786±0.043
test,unseen,unseen,big,underestimated,77,0.297±0.188,0.636±0.118,0.372±0.204,0.792±0.100
test,unseen,unseen,big,overestimated,37,0.676±0.110,0.751±0.107,0.804±0.076,0.845±0.077
ood,all,all,all,all,10368,0.161±0.000,0.184±0.016,0.242±0.000,0.271±0.024
ood,all,all,all,underestimated,9664,0.167±0.002,0.201±0.025,0.251±0.003,0.296±0.037
ood,all,all,all,overestimated,704,0.481±0.013,0.549±0.034,0.700±0.020,0.733±0.036
ood,all,all,small,all,491,0.396±0.000,0.221±0.052,0.545±0.000,0.325±0.075
ood,all,all,small,underestimated,0,1.000±0.000,nan±nan,1.000±0.000,nan±nan
ood,all,all,small,overestimated,490,0.394±0.002,0.223±0.051,0.542±0.003,0.329±0.074
ood,all,all,medium,all,1052,0.051±0.000,0.065±0.033,0.059±0.000,0.094±0.046
ood,all,all,medium,underestimated,950,0.061±0.011,0.105±0.029,0.068±0.016,0.153±0.049
ood,all,all,medium,overestimated,102,0.135±0.070,0.393±0.090,0.183±0.079,0.477±0.122
ood,all,all,big,all,8825,0.174±0.000,0.139±0.027,0.261±0.000,0.206±0.042
ood,all,all,big,underestimated,8713,0.182±0.002,0.154±0.029,0.273±0.003,0.230±0.045
ood,all,all,big,overestimated,111,0.189±0.108,0.523±0.125,0.254±0.147,0.661±0.158
ood,all,seen,all,all,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,all,seen,all,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,all,seen,all,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,all,seen,small,all,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,all,seen,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,all,seen,small,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,all,seen,medium,all,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,all,seen,medium,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,all,seen,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,all,seen,big,all,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,all,seen,big,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,all,seen,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,all,unseen,all,all,10368,0.161±0.000,0.184±0.016,0.242±0.000,0.271±0.024
ood,all,unseen,all,underestimated,9664,0.167±0.002,0.201±0.025,0.251±0.003,0.296±0.037
ood,all,unseen,all,overestimated,704,0.481±0.013,0.549±0.034,0.700±0.020,0.733±0.036
ood,all,unseen,small,all,491,0.396±0.000,0.221±0.052,0.545±0.000,0.325±0.075
ood,all,unseen,small,underestimated,0,1.000±0.000,nan±nan,1.000±0.000,nan±nan
ood,all,unseen,small,overestimated,490,0.394±0.002,0.223±0.051,0.542±0.003,0.329±0.074
ood,all,unseen,medium,all,1052,0.051±0.000,0.065±0.033,0.059±0.000,0.094±0.046
ood,all,unseen,medium,underestimated,950,0.061±0.011,0.105±0.029,0.068±0.016,0.153±0.049
ood,all,unseen,medium,overestimated,102,0.135±0.070,0.393±0.090,0.183±0.079,0.477±0.122
ood,all,unseen,big,all,8825,0.174±0.000,0.139±0.027,0.261±0.000,0.206±0.042
ood,all,unseen,big,underestimated,8713,0.182±0.002,0.154±0.029,0.273±0.003,0.230±0.045
ood,all,unseen,big,overestimated,111,0.189±0.108,0.523±0.125,0.254±0.147,0.661±0.158
ood,seen,all,all,all,949,-0.212±0.005,0.235±0.060,-0.337±0.006,0.323±0.082
ood,seen,all,all,underestimated,930,-0.192±0.005,0.222±0.065,-0.311±0.007,0.304±0.089
ood,seen,all,all,overestimated,19,-0.885±0.006,0.504±0.019,-0.938±0.004,0.571±0.032
ood,seen,all,small,all,19,-0.882±0.000,0.495±0.012,-0.936±0.000,0.554±0.001
ood,seen,all,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,all,small,overestimated,19,-0.882±0.000,0.495±0.012,-0.936±0.000,0.554±0.001
ood,seen,all,medium,all,49,0.469±0.082,0.419±0.076,0.649±0.089,0.564±0.073
ood,seen,all,medium,underestimated,49,0.464±0.084,0.426±0.076,0.644±0.090,0.571±0.077
ood,seen,all,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,all,big,all,881,-0.140±0.005,0.193±0.066,-0.241±0.008,0.261±0.094
ood,seen,all,big,underestimated,881,-0.140±0.005,0.193±0.066,-0.241±0.008,0.261±0.094
ood,seen,all,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,seen,all,all,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,seen,all,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,seen,all,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,seen,small,all,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,seen,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,seen,small,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,seen,medium,all,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,seen,medium,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,seen,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,seen,big,all,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,seen,big,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,seen,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,unseen,all,all,949,-0.212±0.005,0.235±0.060,-0.337±0.006,0.323±0.082
ood,seen,unseen,all,underestimated,930,-0.192±0.005,0.222±0.065,-0.311±0.007,0.304±0.089
ood,seen,unseen,all,overestimated,19,-0.885±0.006,0.504±0.019,-0.938±0.004,0.571±0.032
ood,seen,unseen,small,all,19,-0.882±0.000,0.495±0.012,-0.936±0.000,0.554±0.001
ood,seen,unseen,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,unseen,small,overestimated,19,-0.882±0.000,0.495±0.012,-0.936±0.000,0.554±0.001
ood,seen,unseen,medium,all,49,0.469±0.082,0.419±0.076,0.649±0.089,0.564±0.073
ood,seen,unseen,medium,underestimated,49,0.464±0.084,0.426±0.076,0.644±0.090,0.571±0.077
ood,seen,unseen,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,seen,unseen,big,all,881,-0.140±0.005,0.193±0.066,-0.241±0.008,0.261±0.094
ood,seen,unseen,big,underestimated,881,-0.140±0.005,0.193±0.066,-0.241±0.008,0.261±0.094
ood,seen,unseen,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,all,all,all,9418,0.174±0.001,0.179±0.016,0.258±0.001,0.265±0.024
ood,unseen,all,all,underestimated,8733,0.173±0.002,0.198±0.026,0.258±0.003,0.293±0.039
ood,unseen,all,all,overestimated,684,0.488±0.013,0.559±0.029,0.706±0.019,0.745±0.030
ood,unseen,all,small,all,472,0.419±0.000,0.230±0.053,0.575±0.000,0.338±0.074
ood,unseen,all,small,underestimated,0,1.000±0.000,nan±nan,1.000±0.000,nan±nan
ood,unseen,all,small,overestimated,471,0.417±0.002,0.233±0.051,0.573±0.002,0.342±0.072
ood,unseen,all,medium,all,1002,0.043±0.001,0.068±0.032,0.049±0.002,0.095±0.044
ood,unseen,all,medium,underestimated,901,0.050±0.010,0.107±0.029,0.054±0.016,0.155±0.049
ood,unseen,all,medium,overestimated,101,0.131±0.074,0.391±0.090,0.178±0.085,0.474±0.123
ood,unseen,all,big,all,7943,0.166±0.000,0.130±0.031,0.248±0.001,0.194±0.048
ood,unseen,all,big,underestimated,7832,0.174±0.002,0.147±0.033,0.260±0.004,0.221±0.050
ood,unseen,all,big,overestimated,111,0.189±0.108,0.523±0.125,0.254±0.147,0.661±0.158
ood,unseen,seen,all,all,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,seen,all,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,seen,all,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,seen,small,all,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,seen,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,seen,small,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,seen,medium,all,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,seen,medium,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,seen,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,seen,big,all,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,seen,big,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,seen,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
ood,unseen,unseen,all,all,9418,0.174±0.001,0.179±0.016,0.258±0.001,0.265±0.024
ood,unseen,unseen,all,underestimated,8733,0.173±0.002,0.198±0.026,0.258±0.003,0.293±0.039
ood,unseen,unseen,all,overestimated,684,0.488±0.013,0.559±0.029,0.706±0.019,0.745±0.030
ood,unseen,unseen,small,all,472,0.419±0.000,0.230±0.053,0.575±0.000,0.338±0.074
ood,unseen,unseen,small,underestimated,0,1.000±0.000,nan±nan,1.000±0.000,nan±nan
ood,unseen,unseen,small,overestimated,471,0.417±0.002,0.233±0.051,0.573±0.002,0.342±0.072
ood,unseen,unseen,medium,all,1002,0.043±0.001,0.068±0.032,0.049±0.002,0.095±0.044
ood,unseen,unseen,medium,underestimated,901,0.050±0.010,0.107±0.029,0.054±0.016,0.155±0.049
ood,unseen,unseen,medium,overestimated,101,0.131±0.074,0.391±0.090,0.178±0.085,0.474±0.123
ood,unseen,unseen,big,all,7943,0.166±0.000,0.130±0.031,0.248±0.001,0.194±0.048
ood,unseen,unseen,big,underestimated,7832,0.174±0.002,0.147±0.033,0.260±0.004,0.221±0.050
ood,unseen,unseen,big,overestimated,111,0.189±0.108,0.523±0.125,0.254±0.147,0.661±0.158
