data_type,structure_category,tree_category,time_category,prediction_category,size,Kendall [c],Kendall [p],Spearman [c],Spearman [p]
train,seen,seen,big,underestimated,3401,0.196±0.050,0.933±0.014,0.282±0.062,0.983±0.005
train,seen,seen,big,overestimated,5474,0.114±0.034,0.928±0.014,0.168±0.051,0.983±0.006
train,seen,unseen,all,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,seen,unseen,all,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,seen,unseen,all,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,seen,unseen,small,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,seen,unseen,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,seen,unseen,small,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,seen,unseen,medium,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,seen,unseen,medium,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,seen,unseen,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,seen,unseen,big,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,seen,unseen,big,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,seen,unseen,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,all,all,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,all,all,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,all,all,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,all,small,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,all,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,all,small,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,all,medium,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,all,medium,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,all,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,all,big,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,all,big,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,all,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,seen,all,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,seen,all,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,seen,all,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,seen,small,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,seen,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,seen,small,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,seen,medium,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,seen,medium,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,seen,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,seen,big,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,seen,big,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,seen,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,unseen,all,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,unseen,all,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,unseen,all,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,unseen,small,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,unseen,unseen,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
