data_type,structure_category,tree_category,time_category,prediction_category,size,mse,mape
train,unseen,seen,all,underestimated,0,0.000±0.000,0.000±0.000
train,unseen,seen,all,overestimated,0,0.000±0.000,0.000±0.000
train,unseen,seen,small,all,0,0.000±0.000,0.000±0.000
train,unseen,seen,small,underestimated,0,0.000±0.000,0.000±0.000
train,unseen,seen,small,overestimated,0,0.000±0.000,0.000±0.000
train,unseen,seen,medium,all,0,0.000±0.000,0.000±0.000
train,unseen,seen,medium,underestimated,0,0.000±0.000,0.000±0.000
train,unseen,seen,medium,overestimated,0,0.000±0.000,0.000±0.000
train,unseen,seen,big,all,0,0.000±0.000,0.000±0.000
train,unseen,seen,big,underestimated,0,0.000±0.000,0.000±0.000
train,unseen,seen,big,overestimated,0,0.000±0.000,0.000±0.000
train,unseen,unseen,all,all,0,0.000±0.000,0.000±0.000
train,unseen,unseen,all,underestimated,0,0.000±0.000,0.000±0.000
train,unseen,unseen,all,overestimated,0,0.000±0.000,0.000±0.000
train,unseen,unseen,small,all,0,0.000±0.000,0.000±0.000
train,unseen,unseen,small,underestimated,0,0.000±0.000,0.000±0.000
train,unseen,unseen,small,overestimated,0,0.000±0.000,0.000±0.000
train,unseen,unseen,medium,all,0,0.000±0.000,0.000±0.000
train,unseen,unseen,medium,underestimated,0,0.000±0.000,0.000±0.000
train,unseen,unseen,medium,overestimated,0,0.000±0.000,0.000±0.000
train,unseen,unseen,big,all,0,0.000±0.000,0.000±0.000
train,unseen,unseen,big,underestimated,0,0.000±0.000,0.000±0.000
train,unseen,unseen,big,overestimated,0,0.000±0.000,0.000±0.000
val,all,all,all,all,8478,33.457±8.367,43.153±6.778
val,all,all,all,underestimated,4015,53.316±16.079,0.325±0.025
val,all,all,all,overestimated,4463,16.180±3.994,82.101±14.492
val,all,all,small,all,1931,6.721±5.113,188.509±34.818
val,all,all,small,underestimated,552,0.004±0.000,0.466±0.043
val,all,all,small,overestimated,1379,9.184±6.707,261.504±36.343
val,all,all,medium,all,4260,5.379±1.909,0.967±0.177
val,all,all,medium,underestimated,2103,0.538±0.136,0.324±0.021
val,all,all,medium,overestimated,2157,10.098±3.636,1.611±0.397
val,all,all,big,all,2287,109.578±30.464,0.245±0.007
val,all,all,big,underestimated,1360,157.660±49.059,0.265±0.018
val,all,all,big,overestimated,927,41.296±19.758,0.214±0.019
val,all,seen,all,all,0,0.000±0.000,0.000±0.000
val,all,seen,all,underestimated,0,0.000±0.000,0.000±0.000
val,all,seen,all,overestimated,0,0.000±0.000,0.000±0.000
val,all,seen,small,all,0,0.000±0.000,0.000±0.000
val,all,seen,small,underestimated,0,0.000±0.000,0.000±0.000
val,all,seen,small,overestimated,0,0.000±0.000,0.000±0.000
val,all,seen,medium,all,0,0.000±0.000,0.000±0.000
val,all,seen,medium,underestimated,0,0.000±0.000,0.000±0.000
val,all,seen,medium,overestimated,0,0.000±0.000,0.000±0.000
val,all,seen,big,all,0,0.000±0.000,0.000±0.000
val,all,seen,big,underestimated,0,0.000±0.000,0.000±0.000
val,all,seen,big,overestimated,0,0.000±0.000,0.000±0.000
val,all,unseen,all,all,8478,33.457±8.367,43.153±6.778
val,all,unseen,all,underestimated,4015,53.316±16.079,0.325±0.025
val,all,unseen,all,overestimated,4463,16.180±3.994,82.101±14.492
val,all,unseen,small,all,1931,6.721±5.113,188.509±34.818
val,all,unseen,small,underestimated,552,0.004±0.000,0.466±0.043
val,all,unseen,small,overestimated,1379,9.184±6.707,261.504±36.343
val,all,unseen,medium,all,4260,5.379±1.909,0.967±0.177
